State,Season,Soil_Type,Crop,Rainfall_mm,Temperature_C,Humidity_pct,pH,Area_ha,N_kg_ha,P_kg_ha,K_kg_ha,Fertilizer,Irrigation,Yield_kg_ha
Tamil Nadu,Rabi,Sandy,Cotton,998.4,23.0,50.6,7.46,11.16,128.6,38.9,53.1,Urea,Sprinkler,366.7
West Bengal,Zaid,Sandy,Soybean,1090.4,22.2,65.4,5.53,4.64,102.7,26.3,55.5,NPK,Rain-fed,3078.0
Madhya Pradesh,Kharif,Loamy,Sugarcane,1699.4,33.0,78.6,6.49,16.7,42.7,15.4,59.0,Organic,Flood,123475.4
Madhya Pradesh,Rabi,Laterite,Cotton,959.0,24.3,45.1,6.56,3.15,75.1,42.4,48.0,Compost,Flood,1006.9
Maharashtra,Rabi,Black,Mustard,210.8,11.6,63.0,7.89,10.86,124.9,39.6,66.1,DAP,Flood,952.2
West Bengal,Zaid,Alluvial,Cotton,1174.5,29.2,63.8,6.65,2.58,128.8,62.5,36.8,Urea,Drip,976.8
Haryana,Zaid,Loamy,Cotton,1087.2,28.0,43.2,6.63,5.58,27.1,60.7,18.2,Potash,Drip,361.2
Haryana,Rabi,Red,Soybean,731.8,28.3,69.4,7.08,7.66,82.7,20.6,35.5,Urea,Rain-fed,2481.3
Haryana,Kharif,Laterite,Soybean,649.9,22.2,76.6,7.92,2.44,28.1,22.3,32.8,Potash,Sprinkler,2018.7
Karnataka,Zaid,Black,Barley,371.3,15.3,49.1,6.44,4.64,69.1,47.9,15.1,Potash,Rain-fed,3075.4
Maharashtra,Rabi,Loamy,Jowar,800.1,22.7,71.9,5.92,9.47,143.7,35.5,64.9,Compost,Flood,2137.5
Uttar Pradesh,Zaid,Alluvial,Barley,479.0,10.6,42.4,5.78,2.91,57.8,66.5,43.2,Potash,Drip,2852.0
Uttar Pradesh,Rabi,Red,Wheat,381.0,10.1,47.9,6.14,7.36,22.2,49.0,34.5,DAP,Sprinkler,5152.9
Rajasthan,Rabi,Clay,Sugarcane,1758.7,32.7,44.8,7.38,8.19,59.1,79.8,38.4,Compost,Sprinkler,63562.6
Madhya Pradesh,Rabi,Alluvial,Sugarcane,1238.5,37.5,90.2,8.2,8.61,63.2,49.0,13.2,Compost,Rain-fed,123726.3
Uttar Pradesh,Zaid,Alluvial,Jowar,365.6,25.3,83.6,6.2,7.72,144.3,38.7,25.5,Organic,Sprinkler,1816.0
Punjab,Kharif,Clay,Barley,497.0,20.9,57.6,8.34,6.83,133.2,19.0,17.6,Organic,Rain-fed,2156.9
Punjab,Kharif,Loamy,Soybean,855.0,23.6,54.4,7.2,4.73,94.4,78.2,15.6,Urea,Sprinkler,1848.0
Andhra Pradesh,Rabi,Black,Groundnut,773.2,25.9,58.9,7.66,4.66,140.5,29.6,57.4,Organic,Drip,1183.1
Karnataka,Kharif,Sandy,Wheat,712.0,11.4,47.0,8.11,16.93,125.2,46.4,12.5,Compost,Sprinkler,2953.6
Tamil Nadu,Zaid,Laterite,Barley,538.3,14.6,76.4,7.22,7.04,71.8,30.4,59.7,Urea,Drip,3710.7
Tamil Nadu,Zaid,Alluvial,Jowar,346.8,30.5,63.4,7.09,5.42,103.3,69.1,39.1,Urea,Drip,1451.8
Rajasthan,Zaid,Loamy,Groundnut,699.2,23.8,81.6,6.0,17.79,108.3,30.6,40.9,Potash,Sprinkler,2597.3
Karnataka,Zaid,Clay,Groundnut,793.0,22.2,88.8,6.09,9.07,103.2,39.1,57.5,Compost,Flood,1993.4
Karnataka,Kharif,Laterite,Sugarcane,2041.0,24.0,81.0,8.1,13.64,43.6,17.7,76.0,Urea,Flood,90667.1
Tamil Nadu,Zaid,Clay,Groundnut,416.3,27.0,83.2,5.67,3.9,54.2,68.7,23.6,DAP,Sprinkler,1673.6
Haryana,Rabi,Red,Maize,747.7,31.1,50.1,7.97,4.71,85.8,20.3,11.7,DAP,Sprinkler,7008.7
Andhra Pradesh,Zaid,Laterite,Cotton,613.3,23.7,50.2,6.03,11.91,59.9,16.8,72.8,Compost,Drip,786.7
Karnataka,Kharif,Loamy,Cotton,909.1,22.9,87.2,5.57,2.13,139.0,34.4,49.3,Organic,Sprinkler,771.5
West Bengal,Zaid,Sandy,Soybean,988.5,27.6,82.0,7.4,16.43,29.1,51.5,52.2,Compost,Sprinkler,2482.8
Madhya Pradesh,Zaid,Loamy,Sugarcane,1012.1,34.9,41.1,6.2,11.96,33.5,18.5,59.1,Potash,Flood,106314.7
Madhya Pradesh,Zaid,Loamy,Groundnut,829.8,27.4,51.1,5.74,7.12,88.5,58.1,44.4,NPK,Flood,2152.5
West Bengal,Zaid,Red,Rice,1647.8,33.3,50.5,7.23,10.91,38.4,63.1,32.6,DAP,Sprinkler,2915.9
Madhya Pradesh,Rabi,Laterite,Maize,537.8,24.9,77.9,6.54,8.84,47.5,42.8,55.7,Urea,Drip,4750.6
Madhya Pradesh,Rabi,Sandy,Mustard,364.1,17.4,42.3,6.84,12.9,97.6,13.9,70.0,Organic,Flood,2039.8
Rajasthan,Kharif,Black,Jowar,329.3,31.8,54.9,6.02,6.27,124.8,42.0,20.5,Urea,Flood,1586.7
Maharashtra,Zaid,Clay,Groundnut,574.8,35.1,81.8,7.48,10.19,99.8,34.9,18.2,NPK,Sprinkler,1653.3
Uttar Pradesh,Kharif,Loamy,Wheat,730.8,15.2,58.4,5.93,6.0,40.7,33.0,42.5,Potash,Rain-fed,5183.1
Andhra Pradesh,Rabi,Clay,Soybean,1182.2,28.8,68.0,6.06,10.02,114.2,58.3,48.3,DAP,Rain-fed,1711.4
Karnataka,Zaid,Black,Barley,629.4,8.7,86.2,6.03,13.64,126.1,45.7,32.7,Urea,Flood,2683.8
Andhra Pradesh,Rabi,Black,Cotton,513.9,25.7,54.6,8.17,12.14,41.2,14.9,48.7,DAP,Sprinkler,607.0
Uttar Pradesh,Kharif,Loamy,Maize,1092.8,27.3,61.3,7.42,17.56,81.6,60.2,78.6,Potash,Flood,2420.2
Karnataka,Rabi,Loamy,Mustard,477.3,18.2,57.5,6.64,7.92,26.3,42.5,68.5,DAP,Sprinkler,1101.6
Haryana,Rabi,Laterite,Cotton,912.6,26.5,81.8,7.56,8.61,90.2,72.0,71.4,Potash,Flood,572.1
Tamil Nadu,Zaid,Clay,Mustard,230.3,18.5,46.6,6.88,2.89,26.1,46.2,65.7,Potash,Sprinkler,1597.5
West Bengal,Zaid,Clay,Rice,1596.8,27.3,47.1,5.81,18.68,108.9,66.0,22.9,NPK,Rain-fed,3179.9
Haryana,Kharif,Sandy,Jowar,426.1,28.2,63.8,8.37,17.87,74.2,13.3,31.4,DAP,Drip,2192.5
West Bengal,Rabi,Loamy,Maize,818.4,22.1,51.5,5.77,8.52,89.9,62.4,17.9,Potash,Flood,5299.4
Madhya Pradesh,Kharif,Loamy,Cotton,824.9,31.7,68.5,6.69,9.85,85.1,20.5,62.1,DAP,Flood,764.7
Madhya Pradesh,Kharif,Loamy,Mustard,340.2,19.5,49.1,7.56,8.73,80.4,12.2,43.6,DAP,Sprinkler,1899.6
Andhra Pradesh,Rabi,Alluvial,Groundnut,503.3,22.1,42.4,5.59,16.11,84.1,65.1,44.6,Organic,Drip,1690.2
Maharashtra,Rabi,Clay,Cotton,836.5,29.1,54.2,7.52,13.1,54.7,28.7,70.4,Compost,Drip,362.7
Karnataka,Kharif,Laterite,Rice,1294.2,30.5,74.2,7.94,19.85,105.8,39.0,10.7,Compost,Rain-fed,3719.5
Madhya Pradesh,Zaid,Sandy,Wheat,678.7,17.4,67.1,6.58,11.28,102.6,69.8,25.7,Potash,Rain-fed,4341.0
Rajasthan,Zaid,Laterite,Jowar,847.4,31.5,59.5,6.54,11.07,54.7,53.5,76.1,DAP,Sprinkler,2511.7
Uttar Pradesh,Kharif,Loamy,Maize,674.4,26.0,76.4,6.57,8.07,111.7,35.1,23.4,DAP,Sprinkler,3849.2
Maharashtra,Kharif,Sandy,Cotton,1134.8,23.2,44.8,7.48,12.22,109.5,63.0,24.5,DAP,Sprinkler,828.3
Andhra Pradesh,Zaid,Clay,Barley,292.8,17.3,80.7,6.35,11.63,144.8,17.7,14.7,Urea,Drip,1778.0
Haryana,Zaid,Alluvial,Barley,230.1,16.4,52.6,7.43,3.04,106.4,59.8,75.5,Compost,Flood,4016.6
Karnataka,Zaid,Black,Soybean,897.2,23.4,79.1,7.53,13.26,64.5,32.4,64.9,NPK,Sprinkler,1044.8
Uttar Pradesh,Kharif,Black,Jowar,339.1,28.6,59.9,8.22,19.88,41.7,30.0,48.7,Urea,Flood,1823.8
Tamil Nadu,Zaid,Black,Sugarcane,1107.2,34.4,55.8,7.94,0.56,105.7,73.6,26.4,NPK,Drip,115437.4
Punjab,Zaid,Laterite,Jowar,409.5,22.3,51.8,8.31,4.5,105.1,17.9,50.7,DAP,Drip,1602.3
West Bengal,Kharif,Black,Wheat,285.7,22.5,58.1,8.27,18.8,21.9,39.8,51.3,Organic,Drip,3409.3
Haryana,Zaid,Red,Sugarcane,1021.5,35.3,61.5,7.59,7.48,87.4,60.6,32.5,DAP,Rain-fed,62549.1
Andhra Pradesh,Rabi,Black,Cotton,971.8,24.4,40.1,6.53,10.14,129.0,60.7,27.3,NPK,Flood,837.9
Punjab,Rabi,Clay,Groundnut,871.1,23.3,83.1,8.08,12.29,129.9,61.0,50.6,NPK,Sprinkler,1471.1
Andhra Pradesh,Zaid,Loamy,Groundnut,565.4,23.5,68.4,6.01,16.22,82.5,62.2,44.0,Compost,Drip,1730.3
Madhya Pradesh,Zaid,Alluvial,Barley,341.4,12.6,88.4,8.36,11.72,86.7,30.0,69.7,NPK,Flood,3217.6
Punjab,Kharif,Red,Soybean,995.5,28.6,77.0,7.02,17.69,104.4,43.4,20.8,Compost,Flood,2373.7
Karnataka,Rabi,Red,Maize,1059.1,28.6,76.5,8.19,5.41,66.7,30.1,34.6,Urea,Flood,2273.9
Haryana,Rabi,Clay,Maize,855.3,29.0,46.9,8.44,9.36,37.3,29.4,26.8,NPK,Drip,3654.2
Punjab,Zaid,Red,Rice,1952.6,33.7,60.0,5.87,2.41,87.7,79.2,45.2,NPK,Sprinkler,4752.2
Tamil Nadu,Kharif,Clay,Cotton,1169.7,31.4,94.6,6.66,12.08,38.4,71.2,31.0,Organic,Sprinkler,543.3
Uttar Pradesh,Kharif,Loamy,Wheat,659.4,14.8,59.2,5.89,3.32,38.8,28.2,24.3,DAP,Sprinkler,3662.2
Tamil Nadu,Rabi,Black,Jowar,753.4,28.1,75.3,7.75,10.65,102.1,59.2,34.3,DAP,Drip,1729.1
Tamil Nadu,Kharif,Clay,Mustard,416.1,15.7,74.5,7.93,19.74,138.1,35.1,59.0,Compost,Drip,777.7
Tamil Nadu,Zaid,Clay,Barley,586.4,16.6,45.9,7.98,5.85,138.1,38.8,69.5,DAP,Rain-fed,2248.9
Karnataka,Rabi,Clay,Rice,1767.1,28.2,89.4,5.57,18.14,37.3,22.3,66.0,NPK,Sprinkler,3567.4
Andhra Pradesh,Kharif,Alluvial,Maize,1075.9,29.5,45.4,5.66,16.02,121.4,74.5,28.3,NPK,Rain-fed,5685.0
West Bengal,Rabi,Red,Barley,453.5,19.8,75.5,7.27,0.58,30.0,62.8,73.7,Compost,Sprinkler,2731.2
Andhra Pradesh,Zaid,Black,Jowar,714.2,31.1,58.3,6.02,10.26,120.6,15.9,65.3,Compost,Sprinkler,1085.1
Uttar Pradesh,Zaid,Loamy,Sugarcane,1723.5,36.6,89.5,6.44,5.84,138.7,59.6,57.4,Urea,Flood,98138.0
Karnataka,Kharif,Loamy,Soybean,644.9,21.4,49.3,5.89,11.5,133.6,66.5,65.0,Organic,Drip,958.6
Rajasthan,Rabi,Alluvial,Mustard,451.3,20.5,66.8,8.34,10.68,106.8,48.4,66.3,Potash,Flood,901.6
Andhra Pradesh,Zaid,Sandy,Maize,1145.1,31.0,56.9,6.24,8.59,127.8,10.2,55.1,Organic,Flood,5016.2
West Bengal,Rabi,Red,Sugarcane,2215.7,35.0,77.1,7.56,17.55,43.0,43.1,40.6,Compost,Rain-fed,95280.9
Haryana,Rabi,Red,Sugarcane,1112.3,29.2,72.6,7.23,13.73,79.5,54.8,60.7,NPK,Sprinkler,66047.6
West Bengal,Rabi,Laterite,Sugarcane,1481.8,32.7,65.2,5.98,14.24,81.6,72.9,65.8,NPK,Sprinkler,120798.1
Rajasthan,Kharif,Laterite,Mustard,405.6,23.5,67.7,5.53,5.6,130.8,68.9,17.3,NPK,Flood,2054.4
Karnataka,Kharif,Black,Maize,608.3,22.1,61.0,6.63,5.14,56.2,26.9,37.5,Urea,Sprinkler,1956.1
Tamil Nadu,Kharif,Sandy,Cotton,694.4,33.2,62.5,6.77,13.49,29.2,76.7,73.7,Compost,Sprinkler,397.1
Madhya Pradesh,Zaid,Laterite,Soybean,874.3,25.1,46.0,6.7,15.38,54.2,35.7,37.5,Compost,Rain-fed,1050.5
Andhra Pradesh,Kharif,Black,Maize,597.7,27.9,78.7,6.66,6.87,49.4,26.3,79.0,Urea,Drip,6081.7
Maharashtra,Rabi,Clay,Rice,1685.4,25.1,64.4,7.4,11.31,120.6,34.9,10.6,NPK,Drip,5150.4
Rajasthan,Rabi,Red,Rice,1652.4,32.8,88.8,6.96,19.39,48.9,35.8,51.6,Compost,Sprinkler,4178.8
Rajasthan,Zaid,Laterite,Rice,1445.7,26.4,82.7,6.28,16.63,42.8,34.5,27.2,Organic,Flood,2896.9
Karnataka,Kharif,Alluvial,Groundnut,674.2,34.3,75.7,6.53,15.51,87.8,17.4,19.9,Urea,Drip,1823.4
West Bengal,Rabi,Sandy,Mustard,272.4,10.4,40.5,6.7,18.27,44.4,37.9,68.5,Potash,Sprinkler,1563.8
Rajasthan,Kharif,Sandy,Mustard,530.6,22.7,44.6,8.31,9.77,61.8,34.6,66.7,NPK,Sprinkler,1785.7
West Bengal,Kharif,Red,Groundnut,430.9,23.1,56.8,7.57,5.4,126.9,40.2,64.9,Compost,Sprinkler,1498.3
Madhya Pradesh,Zaid,Clay,Rice,1996.9,26.6,77.4,6.23,12.76,70.4,70.0,61.7,NPK,Flood,2810.7
Tamil Nadu,Kharif,Alluvial,Cotton,826.1,26.2,92.3,7.16,6.87,68.8,49.8,59.2,Potash,Rain-fed,970.7
Maharashtra,Kharif,Loamy,Maize,946.7,24.4,58.4,5.73,1.78,100.0,60.1,58.0,Potash,Sprinkler,2158.9
Madhya Pradesh,Kharif,Black,Jowar,315.5,23.3,92.3,6.81,8.87,119.8,43.3,25.0,NPK,Rain-fed,2320.6
Maharashtra,Zaid,Red,Rice,1203.0,29.8,93.4,7.4,19.72,146.3,20.2,12.8,Urea,Sprinkler,2012.5
Rajasthan,Kharif,Red,Jowar,501.4,30.3,72.0,8.24,7.61,80.0,79.3,45.3,Urea,Flood,851.4
Andhra Pradesh,Zaid,Loamy,Groundnut,426.6,30.1,41.1,5.86,3.64,124.0,31.7,31.9,Compost,Flood,2014.1
Rajasthan,Rabi,Alluvial,Barley,265.0,16.0,43.7,6.41,13.22,78.6,11.4,58.5,Organic,Sprinkler,3867.2
West Bengal,Kharif,Alluvial,Groundnut,815.3,22.4,89.6,6.1,15.31,54.6,56.7,74.7,DAP,Rain-fed,2862.2
Tamil Nadu,Rabi,Red,Mustard,262.2,11.6,53.0,5.57,8.25,42.0,13.1,23.2,NPK,Sprinkler,1782.0
Punjab,Zaid,Laterite,Rice,1453.3,24.6,61.6,5.8,3.88,62.9,62.4,15.2,Compost,Rain-fed,4681.4
Andhra Pradesh,Kharif,Sandy,Mustard,529.2,12.6,91.7,7.93,17.84,130.4,15.1,62.2,NPK,Rain-fed,1027.0
Tamil Nadu,Rabi,Sandy,Sugarcane,2298.9,37.3,42.6,7.99,17.16,130.2,62.6,75.6,Potash,Sprinkler,95195.0
Madhya Pradesh,Rabi,Loamy,Sugarcane,2212.7,35.1,66.1,6.22,16.63,50.3,23.3,57.1,NPK,Drip,101030.9
Haryana,Rabi,Loamy,Maize,1095.3,29.5,73.6,6.15,12.49,63.4,24.9,53.3,Potash,Rain-fed,4242.8
Tamil Nadu,Zaid,Laterite,Sugarcane,1273.0,28.8,61.9,5.68,7.43,82.1,62.9,34.7,Potash,Rain-fed,109716.5
Rajasthan,Kharif,Laterite,Sugarcane,1969.4,35.4,79.4,6.55,16.09,130.1,27.8,10.8,Compost,Flood,95572.2
Haryana,Rabi,Laterite,Cotton,618.0,32.1,62.7,6.2,13.24,126.9,11.0,38.2,Urea,Drip,809.8
Maharashtra,Zaid,Red,Jowar,643.6,31.9,57.8,8.05,14.3,26.0,60.5,47.8,Urea,Sprinkler,2673.0
Haryana,Zaid,Laterite,Sugarcane,1381.8,24.9,40.3,6.95,10.64,142.6,71.7,72.6,Urea,Drip,87535.5
Tamil Nadu,Rabi,Alluvial,Soybean,983.6,24.9,43.4,6.66,13.13,50.7,74.2,14.8,Urea,Flood,2597.1
Rajasthan,Rabi,Red,Jowar,472.4,25.0,91.4,6.32,5.57,137.5,38.6,78.6,Organic,Flood,1452.9
Tamil Nadu,Rabi,Clay,Mustard,383.2,13.4,57.1,6.83,16.46,60.1,69.2,44.5,Organic,Rain-fed,1740.0
Andhra Pradesh,Zaid,Clay,Cotton,625.7,30.5,62.8,6.86,16.68,30.0,35.4,80.0,Organic,Drip,528.6
West Bengal,Kharif,Laterite,Barley,699.4,13.4,92.1,6.34,6.22,110.6,32.5,66.2,Urea,Sprinkler,4223.4
Haryana,Rabi,Laterite,Jowar,304.3,25.5,83.4,6.43,19.0,74.0,55.6,67.0,Compost,Rain-fed,2121.3
Andhra Pradesh,Zaid,Clay,Barley,239.8,17.9,83.8,7.1,4.82,118.8,32.2,36.3,NPK,Rain-fed,2852.4
Karnataka,Rabi,Sandy,Mustard,463.5,20.9,50.2,8.18,9.92,63.5,43.4,10.7,Potash,Sprinkler,742.8
Maharashtra,Kharif,Sandy,Jowar,622.9,26.4,82.1,7.81,16.44,90.8,37.0,40.5,Compost,Sprinkler,2101.1
Punjab,Zaid,Alluvial,Rice,1444.9,25.3,45.1,6.35,2.3,131.1,78.0,59.5,Urea,Drip,4696.8
Rajasthan,Kharif,Red,Sugarcane,2036.0,32.7,40.1,6.79,12.9,106.4,10.5,17.3,Compost,Flood,118556.0
West Bengal,Kharif,Laterite,Rice,1218.4,24.7,42.9,5.9,13.02,122.9,60.4,72.1,Potash,Drip,2681.4
Rajasthan,Kharif,Sandy,Maize,1164.6,27.8,78.5,5.68,2.6,45.8,12.0,73.8,NPK,Drip,7104.0
Uttar Pradesh,Kharif,Laterite,Jowar,370.8,30.1,91.0,5.74,16.69,113.6,34.9,64.9,Compost,Rain-fed,1566.5
Andhra Pradesh,Kharif,Red,Wheat,526.1,12.2,91.3,7.09,16.14,144.5,35.9,14.0,NPK,Drip,5976.7
Uttar Pradesh,Rabi,Alluvial,Rice,1010.1,27.0,57.6,6.47,3.08,122.9,77.8,45.1,Compost,Flood,2813.9
Karnataka,Zaid,Laterite,Barley,578.4,9.0,76.3,6.01,9.24,35.9,21.4,62.9,Compost,Rain-fed,2937.5
Maharashtra,Rabi,Sandy,Cotton,1024.2,29.1,55.7,6.56,6.41,24.4,61.0,67.6,Potash,Drip,417.1
Punjab,Zaid,Sandy,Groundnut,505.9,22.7,77.1,7.4,7.47,103.2,18.4,26.1,Potash,Rain-fed,2563.2
Rajasthan,Zaid,Clay,Wheat,270.8,17.0,82.4,7.23,5.75,145.2,11.4,24.0,Compost,Drip,4003.8
Karnataka,Rabi,Black,Cotton,1145.6,33.5,58.1,7.99,7.88,64.4,30.0,77.4,Potash,Drip,471.0
Haryana,Rabi,Clay,Soybean,604.2,25.0,48.7,6.76,8.67,77.6,66.5,31.0,DAP,Rain-fed,1954.5
Maharashtra,Zaid,Loamy,Cotton,522.2,31.5,71.4,5.77,5.27,80.1,72.4,21.6,DAP,Rain-fed,427.6
Karnataka,Kharif,Red,Jowar,760.0,34.6,62.8,7.91,10.15,133.7,12.3,48.3,DAP,Rain-fed,2614.5
Karnataka,Rabi,Red,Cotton,846.7,31.3,63.7,6.96,2.1,80.9,69.0,75.2,NPK,Flood,850.3
Uttar Pradesh,Rabi,Sandy,Mustard,564.3,13.9,48.8,8.03,1.37,87.6,78.0,65.0,Urea,Flood,1224.0
Punjab,Rabi,Alluvial,Rice,1872.2,24.4,57.1,8.22,16.05,96.6,77.9,30.8,Organic,Rain-fed,2815.0
Karnataka,Kharif,Alluvial,Maize,605.7,19.1,42.2,6.26,11.89,121.0,22.6,13.6,DAP,Rain-fed,6071.0
Haryana,Zaid,Black,Jowar,536.0,23.2,56.1,6.45,4.54,46.4,58.9,18.7,Organic,Sprinkler,2596.1
Uttar Pradesh,Zaid,Sandy,Jowar,396.5,27.3,57.1,7.23,1.05,142.5,31.6,75.5,NPK,Flood,2235.2
Tamil Nadu,Kharif,Clay,Jowar,771.0,22.9,48.1,7.58,10.26,119.4,66.3,68.4,DAP,Rain-fed,2658.3
Uttar Pradesh,Rabi,Black,Cotton,1087.3,37.8,84.4,5.76,11.05,22.5,75.8,78.5,Organic,Rain-fed,512.6
Madhya Pradesh,Zaid,Sandy,Mustard,423.5,17.8,74.5,6.12,10.78,144.5,53.1,64.9,DAP,Sprinkler,1565.8
Madhya Pradesh,Rabi,Black,Soybean,945.3,26.7,45.2,5.57,11.2,30.3,61.1,44.9,Potash,Sprinkler,2265.1
Haryana,Rabi,Red,Mustard,347.4,22.9,85.6,6.39,11.1,101.3,76.2,15.7,DAP,Rain-fed,949.8
Maharashtra,Zaid,Red,Cotton,860.4,32.1,61.9,7.41,18.64,32.7,23.3,45.6,Urea,Drip,864.7
West Bengal,Rabi,Black,Rice,1148.9,28.4,68.9,8.4,0.58,63.5,55.5,58.5,Organic,Drip,3165.5
Rajasthan,Rabi,Sandy,Sugarcane,2472.4,28.1,85.0,7.01,2.03,136.0,21.4,60.8,Potash,Sprinkler,81344.8
Andhra Pradesh,Rabi,Red,Sugarcane,1663.7,26.3,60.5,7.38,3.91,132.9,61.1,13.9,Organic,Drip,100243.8
Madhya Pradesh,Rabi,Black,Barley,276.4,10.5,57.3,8.47,4.3,32.5,34.7,27.1,DAP,Drip,4972.9
Uttar Pradesh,Zaid,Laterite,Barley,560.8,11.5,84.6,8.07,5.79,114.4,16.9,62.9,Potash,Sprinkler,1755.5
West Bengal,Zaid,Alluvial,Groundnut,458.6,25.8,60.9,6.7,10.29,80.0,58.1,42.0,DAP,Sprinkler,1010.4
Karnataka,Kharif,Alluvial,Jowar,398.5,25.1,42.7,7.75,19.12,45.2,48.0,25.3,DAP,Flood,2139.8
Karnataka,Kharif,Clay,Barley,454.3,11.5,53.1,8.0,6.05,27.4,61.8,45.6,Compost,Sprinkler,1692.7
Uttar Pradesh,Kharif,Sandy,Barley,581.1,13.8,88.2,7.87,0.94,130.0,47.4,14.6,DAP,Flood,2210.3
Haryana,Kharif,Alluvial,Rice,1130.5,31.5,95.0,7.15,12.58,110.5,22.8,38.8,Urea,Flood,3854.7
Tamil Nadu,Zaid,Clay,Rice,1252.3,34.9,82.3,7.76,13.31,79.8,59.4,65.8,DAP,Drip,3837.3
Andhra Pradesh,Kharif,Loamy,Maize,1167.5,30.4,89.5,6.36,5.53,56.1,56.0,67.5,Potash,Sprinkler,5573.0
West Bengal,Kharif,Alluvial,Barley,353.4,8.5,75.7,8.3,12.7,104.9,65.1,72.9,Urea,Flood,2278.5
Rajasthan,Rabi,Laterite,Jowar,513.3,23.9,54.4,6.85,3.46,114.7,35.3,64.9,Urea,Flood,1243.8
West Bengal,Kharif,Alluvial,Maize,947.1,24.4,49.3,6.5,8.57,73.5,73.8,21.5,DAP,Sprinkler,2974.1
Andhra Pradesh,Rabi,Loamy,Barley,418.9,15.1,82.0,7.22,16.39,100.8,27.3,73.2,Organic,Drip,2076.0
Madhya Pradesh,Zaid,Red,Mustard,401.8,10.5,55.4,6.04,1.92,25.8,34.9,54.2,Compost,Sprinkler,2004.2
Haryana,Zaid,Clay,Maize,983.1,18.5,65.6,7.68,14.22,55.4,40.8,23.2,Potash,Sprinkler,6230.1
Tamil Nadu,Kharif,Red,Wheat,580.1,12.8,82.4,6.19,10.66,143.0,30.0,20.9,Organic,Drip,6659.3
Tamil Nadu,Zaid,Laterite,Soybean,868.8,21.8,63.8,7.25,18.92,33.2,68.4,36.7,Compost,Rain-fed,1880.2
Tamil Nadu,Rabi,Clay,Mustard,360.4,12.2,79.7,6.74,16.09,66.1,24.1,67.1,Compost,Drip,1731.5
Karnataka,Kharif,Clay,Groundnut,610.7,26.0,43.5,8.02,4.15,69.0,53.2,15.4,DAP,Sprinkler,1689.5
Uttar Pradesh,Rabi,Loamy,Groundnut,504.4,30.0,91.1,8.45,9.35,128.5,25.5,70.3,DAP,Sprinkler,1913.3
Karnataka,Rabi,Sandy,Groundnut,447.3,25.1,55.1,8.36,15.42,67.4,55.4,52.8,Organic,Sprinkler,1989.1
Maharashtra,Kharif,Red,Cotton,807.2,35.8,41.3,7.76,11.68,73.6,70.5,31.9,Potash,Rain-fed,512.9
Haryana,Zaid,Loamy,Rice,1711.5,22.3,59.5,5.82,13.34,82.7,29.0,43.1,NPK,Flood,1933.7
Andhra Pradesh,Zaid,Laterite,Rice,1943.8,27.9,52.8,7.44,17.74,128.2,56.4,12.4,Compost,Flood,3426.6
Maharashtra,Kharif,Sandy,Jowar,889.6,30.9,79.4,7.63,12.1,125.4,75.6,70.9,Urea,Sprinkler,1277.5
Andhra Pradesh,Rabi,Sandy,Rice,1740.5,27.2,73.4,5.94,7.9,98.4,67.5,54.1,Potash,Flood,4408.1
Andhra Pradesh,Rabi,Sandy,Soybean,656.3,26.1,94.3,8.35,11.7,54.0,39.1,22.9,NPK,Sprinkler,1944.9
Punjab,Zaid,Laterite,Rice,931.9,30.8,62.0,6.67,11.27,103.3,32.9,34.3,Urea,Drip,4906.7
Haryana,Rabi,Clay,Barley,270.9,13.0,48.5,6.21,8.78,111.2,47.6,67.6,Organic,Rain-fed,3490.7
West Bengal,Kharif,Alluvial,Jowar,355.6,30.1,65.7,5.89,18.02,24.6,74.7,66.6,Organic,Sprinkler,1982.1
Maharashtra,Zaid,Laterite,Wheat,587.0,15.9,53.5,5.71,6.99,115.8,61.7,17.7,DAP,Sprinkler,5361.7
West Bengal,Zaid,Loamy,Wheat,355.0,18.6,45.4,7.14,6.64,46.8,68.7,80.0,Urea,Rain-fed,3155.5
Haryana,Zaid,Loamy,Groundnut,752.4,32.4,51.9,7.13,17.34,117.3,10.4,19.4,Urea,Rain-fed,1063.1
Karnataka,Kharif,Clay,Mustard,450.8,17.6,65.0,5.63,15.39,26.5,27.0,63.9,Urea,Rain-fed,1266.9
Haryana,Zaid,Loamy,Maize,828.8,21.4,76.4,5.86,15.07,39.9,20.3,39.4,Potash,Drip,2536.5
Rajasthan,Kharif,Clay,Wheat,495.6,18.9,92.7,6.75,8.55,75.8,69.9,12.0,Potash,Flood,4049.4
Andhra Pradesh,Rabi,Clay,Groundnut,499.4,34.9,57.4,5.91,6.98,143.0,21.6,11.8,Potash,Drip,2034.0
Karnataka,Kharif,Red,Jowar,755.3,32.3,80.8,6.19,18.28,59.0,64.3,31.9,Organic,Flood,2643.4
Uttar Pradesh,Kharif,Black,Soybean,984.8,22.6,71.9,6.67,2.42,136.8,51.0,73.2,Potash,Drip,1768.5
West Bengal,Zaid,Black,Mustard,358.9,23.8,81.9,7.96,6.34,144.8,58.8,66.2,DAP,Sprinkler,1349.2
Haryana,Rabi,Laterite,Jowar,795.2,32.8,64.6,7.72,19.89,50.6,37.6,36.1,NPK,Drip,2958.4
Haryana,Rabi,Sandy,Rice,979.6,32.4,50.1,5.78,5.94,73.5,49.9,15.7,DAP,Flood,2363.1
